Algorithm,Assignment_Type,Message_Count,Success_Rate,Avg_Cost,Avg_Time,Success_RepRate,Success_TL
algo,0,15,0.13799999999999973,59.94,0.007090878486633301,0.16377941384785466,0.3024596463589718
algo,0,30,0.06799999999999985,61.86,0.015003926753997802,0.08065625953552312,0.15884653820531025
algo,0,45,0.045111111111111,63.66,0.024068291187286376,0.05337149737584946,0.10911688943281866
algo,0,60,0.033833333333333264,63.9,0.030173957347869873,0.04000225050792608,0.08291666396838746
algo,0,75,0.027999999999999935,65.1,0.03769920587539673,0.03306597769807691,0.06773959705518112
algo,0,90,0.021888888888888857,65.58,0.04958777189254761,0.025830441331251532,0.05747851365203809
algo,0,105,0.02019047619047617,65.88,0.051983180046081545,0.023860775610944664,0.04870722624899671
algo,0,120,0.017166666666666663,66.12,0.065932297706604,0.02025949029704476,0.042894763383209945
algo,0,135,0.014962962962962987,66.3,0.06991677045822144,0.017638831989081987,0.03848145967950443
algo,0,150,0.013399999999999973,66.6,0.07355876684188843,0.015787763757705207,0.03523106761694308
algo,0,165,0.012424242424242414,65.94,0.08367819786071777,0.014663640117640644,0.03126912556646728
algo,0,180,0.011999999999999976,65.94,0.09084091901779175,0.014165859635043776,0.028478982203687043
algo,1,15,0.26399999999999973,68.64,0.006426887512207031,0.24042113664834802,0.3819197059756283
algo,1,30,0.14699999999999974,74.52,0.01488466739654541,0.12786799785611824,0.21848352257536455
algo,1,45,0.09822222222222204,74.94,0.023212831020355224,0.0849473011878965,0.15415317827324115
algo,1,60,0.0739999999999999,75.84,0.030659043788909913,0.06376678409071405,0.12160845226200863
algo,1,75,0.06080000000000002,76.92,0.041238152980804445,0.0525070192356468,0.10126328595053051
algo,1,90,0.05133333333333321,77.94,0.04868980646133423,0.043231758569811304,0.08646882006229925
algo,1,105,0.044571428571428484,77.58,0.054124770164489744,0.03825261432144912,0.07484064489515922
algo,1,120,0.038666666666666606,77.22,0.06370683431625367,0.032924790424445904,0.06614586833806638
algo,1,135,0.03362962962962968,78.06,0.07025966882705688,0.02866798206053369,0.05970394918156893
algo,1,150,0.030533333333333287,78.78,0.07690255165100097,0.02589717481902408,0.05516676674143512
algo,1,165,0.02824242424242427,78.36,0.08687945365905762,0.024001872472370175,0.04914670494691797
algo,1,180,0.02577777777777773,77.94,0.09501919984817504,0.022311489129400286,0.04541569421266728
algo,2,15,0.2646666666666664,68.64,0.0072888493537902836,0.240799491626703,0.3823295873985532
algo,2,30,0.14733333333333307,74.52,0.01643402099609375,0.12808076381356504,0.2184073087565037
algo,2,45,0.09822222222222204,74.82,0.024928483963012695,0.0849507643913597,0.15402503974510262
algo,2,60,0.07383333333333325,75.84,0.03593548774719238,0.06367986820286359,0.12162041158241625
algo,2,75,0.06120000000000002,76.92,0.04248121500015259,0.05274481344684272,0.10133647397526396
algo,2,90,0.05144444444444432,78.0,0.05376587152481079,0.04329674812317718,0.08676480132585729
algo,2,105,0.04466666666666658,77.76,0.05861212968826294,0.038315133880960736,0.07504323692327723
algo,2,120,0.038583333333333275,77.16,0.06798981666564942,0.032874285373940854,0.06624505551161752
